ID,Topic,Clinical Vignette,Lead Question,Additional picture Link (optional),Correct answer,Distractor Option 1,Distractor Option 2,Distractor Option 3,Distractor Option 4,Explanation,References,Learning Objective,Pathomecanism,Aspect,Disease,Created By,Reviewer 1,Reviewer 2,Reviewer Comment
"q_1756209782315_1qngfsbhg","Parasitologi","Seorang pria usia 29 tahun datang ke IGD setelah mengalami kejang. Hasil CT-scan kepala menunjukkan lesi multipel berbentuk kista di otak. Riwayat menunjukkan bahwa pasien sering mengonsumsi daging babi. Pemeriksaan feses tidak menunjukkan segmen cacing.","Bagaimana pasien ini kemungkinan besar terinfeksi?","","Menelan telur dari Taenia solium","Menelan kista melalui daging babi kurang matang","Menelan telur dari Taenia saginata","Menelan larva filariform","Larva filariform menembus kulit","","","Literasi Sains atau landasan ilmiah","infection","knowledge","Sistiserkosis","Yenny Rachmawati","Aisyah Amanda Hanif","Yenny Rachmawati",""
"q_1756209661326_uoi1w3nw9","Parasitologi","Seorang anak laki-laki berusia 10 tahun diantar ibunya ke puskesmas dengan keluhan batuk sejak 1 bulan yang lalu. Batuk dirasakan terjadi terus-menerus disertai dahak berwarna bening dan kental. Ibu pasien juga merasa jika berat badan anaknya sulit untuk naik, dan anaknya juga tampak lemah dan prestasinya terus menurun. Beberapa teman bermain pasien juga mengeluhkan keluhan serupa dan mereka sering bermain tanah bersama di pekarangan rumah tanpa menggunakan alas kaki. Pasien tampak lemas , pada pemeriksaan ﬁsik didapatkan tanda vital dalam batas normal, konjungtiva tidak anemis. Pada pemeriksaan feses ditemukan gambaran telur berdinding ganda dengan lapisan albumin di bagian luar.","Apakah pencegahan penularan penyakit yang paling tepat?","","Mencuci tangan dengan sabun setelah BAB","Menggunakan alas kaki saat keluar rumah","Tidak memakai handuk bersama","Tidak memelihara hewan peliharaan","Makan makanan yang bergizi","","","Pengelolaan masalah kesehatan dan sumber daya","infection","knowledge","Kecacingan","Yenny Rachmawati","Aisyah Amanda Hanif","Yenny Rachmawati",""
"q_1756209518562_sk305jhds","Parasitologi","Seorang wisatawan mengalami diare cair, berbau busuk, dan berwarna pucat disertai kembung dan rasa tidak nyaman di perut sejak 5 hari lalu. Ia baru saja kembali dari daerah endemik. Pemeriksaan menunjukkan steatorrhea.
","Apa mekanisme utama gangguan yang terjadi?","","Penempelan trofozoit pada vili usus menyebabkan malabsorbsi lemak","Penempelan trofozoit pada vili usus menyebabkan perdarahan mukosa","Penempelan trofozoit pada vili usus menyebabkan aktivasi limfosit T","Penempelan trofozoit pada vili usus menyebabkan infiltrasi eosinofil ke kolon","Penempelan trofozoit pada vili usus dan memproduksi toksin enterik","Trofozoit Giardia menempel di vili usus halus, menyebabkan gangguan penyerapan lemak dan steatorrhea","","Literasi Sains atau landasan ilmiah","infection","knowledge","Giardiasis","Yenny Rachmawati","Aisyah Amanda Hanif","Yenny Rachmawati",""
"q_1756209254080_y2jhnc83f","Parasitologi","Seorang anak laki-laki berusia 5 tahun dibawa orang tuanya ke puskesmas dengan keluhan diare dengan lendir dan lemak sejak 3 hari yang lalu. Keluhan disertai mual, muntah, sering kentut dan nyeri perut. Pada pemeriksaan ﬁsik didapatkan denyut nadi 100x/menit, frekuensi nafas 24x/menit, suhu 37,8ºC. Pemeriksaan laboratorium didapatkan Hb 10,2 g/dl, leukosit 11.100/mm3, eosinoﬁlia, trombosit 230.000/mm3. Pemeriksaan feses didapatkan kista dan trofozoit dengan ﬂagel.","Apakah tata laksana farmakologi yang paling tepat?","","Tinidazol","Mebendazol","Albendazol","Tiabendazol","Trimethoprim-Sulfamethoxazol","Berdasarkan keluhan dan pemeriksaan yang disebutkan, diagnosis yang paling mungkin adalah infeksi parasit usus, yang dalam hal ini kemungkinan disebabkan oleh Giardia lamblia. Gejala seperti diare dengan lendir dan lemak, disertai mual, muntah, sering kentut, dan nyeri perut sering terkait dengan infeksi protozoa ini.
Pilihan terapi farmakologi yang paling tepat untuk Giardiasis pada anak usia 5 tahun adalah Tinidazol. Tinidazol merupakan salah satu obat antimikroba yang efektif melawan Giardia lamblia.","","Pengelolaan masalah kesehatan dan sumber daya","infection","knowledge","Giardiasis","Yenny Rachmawati","","",""
"q_1756209130399_cu6s6egj4","Parasitologi","Seorang pria usia 28 tahun mengeluh buang air besar berdarah dan berlendir hingga 6 kali sehari, disertai tenesmus dan nyeri perut bawah.","Apa bentuk morfologi parasit yang ditemukan pada feses pasien ini saat fase akut?","","Trophozoit","Kista matang","Telur","Larva","Sporokista","Trophozoit merupakan tahap aktif mencari makan, motil dari entamoeba hystolitica","","Literasi Sains atau landasan ilmiah","infection","knowledge","Amebiasis","Yenny Rachmawati","","",""
"q_1756208976782_k8g42y6km","Parasitologi","Anak laki-laki usia 7 tahun datang dengan keluhan diare berdarah dan berlendir yang terjadi berulang selama 1 minggu terakhir. Anak juga sering merasa ingin buang air besar walaupun hanya sedikit yang keluar dan nyeri perut sebelum buang air besar(tenesmus). Pada pemeriksaan tampak prolapsus rektum. Pemeriksaan feses menunjukkan telur berbentuk tong dengan sumbat mukoid di kedua ujung.","Apa tatalaksana farmakologi yang paling tepat untuk kasus tersebut?","","Mebendazol 2x100 mg selama 3 hari","Prazikuantel dosis tunggal","Metronidazol 3 x 250 mg selama 7 hari","Ivermectin 1 dosis","Trimethoprim-Sulfamethoxazol 2 x 100 mg selama 5 hari","","","Pengelolaan masalah kesehatan dan sumber daya","infection","knowledge","Kecacingan","Yenny Rachmawati","","",""
"q_1754994344822_0in847m8q","Parasitologi","Seorang anak perempuan usia 5 tahun dibawa ibunya karena mengeluh gatal di daerah anus terutama pada malam hari. Ibu pasien mengaku melihat cacing kecil berwarna putih keluar dari anus anak saat malam. Anak terlihat sehat dan aktif. Pemeriksaan swab anal menunjukkan telur lonjong dan asimetris, dengan satu sisi mendatar.","Metode diagnosis terbaik untuk kasus ini adalah:","","Swab anal dengan metode cellophane tape","Pemeriksaan darah lengkap","Pemeriksaan tinja langsung","Pemeriksaan urine","Pemeriksaan serologi","Swab anal dengan metode cellophane tape ditujukan untuk mendeteksi telur Enterobius karena cacing dewasa bermigrasi ke perianal saat malam untuk meletakkan telurnya","","Literasi Sains atau landasan ilmiah","infection","procedural-knowledge","Enterobiasis","Yenny Rachmawati","Yenny Rachmawati","John Reviewer",""
"q_1754994211916_6t4whumnd","Parasitologi","Anak laki-laki usia 7 tahun datang dengan keluhan diare berdarah dan berlendir yang terjadi berulang selama 1 minggu terakhir. Anak juga sering merasa ingin buang air besar walaupun hanya sedikit yang keluar dan nyeri perut sebelum buang air besar(tenesmus). Pada pemeriksaan tampak prolapsus rektum. Pemeriksaan feses menunjukkan telur berbentuk tong dengan sumbat mukoid di kedua ujung.","Cacing mana yang paling mungkin menjadi penyebab kondisi ini?","","Trichuris trichiura","Enterobius vermicularis","Ancylostoma duodenale","Ascaris lumbricoides","Strongyloides stercoralis","Infeksi berat Trichuris menyebabkan iritasi usus besar hingga dapat menyebabkan prolapsus rektum akibat tenesmus dan diare kronis","","Literasi Sains atau landasan ilmiah","infection","knowledge","Kecacingan","Yenny Rachmawati","Yenny Rachmawati","John Reviewer",""
"q_1754994122190_kvawaitr2","Parasitologi","Wanita usia 30 tahun mengeluh lemas, pusing, dan nyeri di daerah ulu hati. Ia tinggal di daerah pertanian dan tidak biasa menggunakan alas kaki. Pemeriksaan darah menunjukkan kadar Hb 8,5 g/dL. Pemeriksaan feses menunjukkan adanya telur cacing tambang.","Apa mekanisme utama yang menyebabkan anemia pada pasien ini?","","Perdarahan akibat cacing menghisap darah dari mukosa usus","Gangguan absorbsi vitamin B12","Produksi toksin oleh cacing","Reaksi inflamasi pada ileum","Autoinfeksi berulang","Cacing tambang menghisap darah dan mengeluarkan antikoagulan, menyebabkan perdarahan dan anemia defisiensi besi","","Literasi Sains atau landasan ilmiah","infection","knowledge","Ankilostomiasis","Yenny Rachmawati","Yenny Rachmawati","John Reviewer",""
"q_1754993951514_g02bppj5i","Parasitologi","Seorang pria berusia 40 tahun datang ke puskesmas dengan keluhan munculnya ruam merah pada tungkai bawah sejak 3 hari terakhir. Ruam tersebut tampak cepat berpindah-pindah lokasinya dan terasa gatal. Pasien bekerja sebagai petani dan sering tidak menggunakan alas kaki saat bekerja. Ia tinggal di daerah pedesaan dengan sanitasi yang buruk.","Apa istilah yang tepat untuk manifestasi kulit tersebut?","","Creeping eruption","Cutaneous larva migrans","Ground itch","Pruritus ani","Contact dermatitis","Creeping eruption adalah manifestasi kulit khas infeksi Strongyloides pada fase cutaneous berupa lesi yang berpindah cepat","","Literasi Sains atau landasan ilmiah","infection","knowledge","Strongyloidosis","Yenny Rachmawati","Yenny Rachmawati","John Reviewer",""
"q_1754682122070_8la66l6n4","Parasitology","Seorang anak laki-laki usia 7 tahun dari daerah pedesaan datang dengan keluhan batuk kering, demam ringan, dan napas berbunyi sejak 4 hari terakhir. Ia tampak lemas dan sesak. Pemeriksaan darah menunjukkan eosinofilia. Pada pemeriksaan feses ditemukan gambaran telur berdinding ganda dengan lapisan albumin di bagian luar.","Apa patofisiologi yang paling mungkin mendasari keluhan pasien ini?","","Migrasi larva cacing melalui paru","Reaksi alergi terhadap telur cacing di usus","Perlekatan cacing dewasa di usus besar","Infeksi bakteri sekunder akibat disbiosis usus","Produksi toksin oleh cacing dewasa di lumen usus","Migrasi larva Ascaris melalui paru-paru menyebabkan gejala respirasi dan eosinofilia, dikenal sebagai sindrom Loeffler","","Literasi Sains atau landasan ilmiah","infection","knowledge","Loeffler syndrome","Dr. Sarah Johnson","Jane Coordinator","John Reviewer",""
"1","Myocardial Infarction","A 65-year-old male with a history of hypertension and diabetes mellitus type 2 presents to the emergency department with acute onset of severe chest pain that started 2 hours ago. The pain is described as crushing and radiates to the left arm and jaw. He also reports shortness of breath and profuse sweating. ECG shows ST-elevation in leads II, III, and aVF.","Based on the clinical presentation and ECG findings, what is the most likely diagnosis?","","Inferior wall myocardial infarction","Anterior wall myocardial infarction","Unstable angina","Pulmonary embolism","Aortic dissection","ST-elevation in leads II, III, and aVF indicates an inferior wall myocardial infarction, typically caused by occlusion of the right coronary artery or left circumflex artery.","Thygesen K, et al. Fourth Universal Definition of Myocardial Infarction (2018). Circulation. 2018;138(20):e618-e651.","Keterampilan klinis; Literasi Sains atau landasan ilmiah","degenerative","knowledge","Myocardial Infarction","Prof. Michael Davis","Dr. Sarah Johnson","Dr. Robert Chen","Approved - High quality question with appropriate difficulty level"
"2","Chronic Obstructive Pulmonary Disease","A 45-year-old male with a 20-pack-year smoking history presents with a 6-month history of progressive shortness of breath, especially on exertion. He reports a chronic productive cough with yellowish sputum. Physical examination reveals decreased breath sounds and prolonged expiration. Chest X-ray shows hyperinflation and flattened diaphragms.","What is the most likely underlying pathophysiological mechanism?","","Alveolar destruction and loss of elastic recoil","Bronchial smooth muscle hypertrophy","Pulmonary vascular remodeling","Pleural fibrosis and adhesions","Diaphragmatic paralysis","COPD is characterized by alveolar destruction (emphysema) leading to loss of elastic recoil, air trapping, and impaired gas exchange.","Global Initiative for Chronic Obstructive Lung Disease (GOLD) 2023 Report.","Literasi Sains atau landasan ilmiah; Keterampilan klinis","degenerative","knowledge","Chronic Obstructive Pulmonary Disease","John Smith","Dr. Sarah Johnson","Dr. Lisa Wang",""
"3","Subarachnoid Hemorrhage","A 28-year-old previously healthy male presents to the emergency department with sudden onset of the worst headache of his life, described as thunderclap headache. He also reports neck stiffness, nausea, vomiting, and sensitivity to light. Vital signs show blood pressure 160/95 mmHg, heart rate 110 bpm, and temperature 37.2°C.","What is the most appropriate initial diagnostic test?","","Non-contrast CT scan of the head","Lumbar puncture","MRI of the brain","Cerebral angiography","EEG","Non-contrast CT is the initial imaging of choice for suspected subarachnoid hemorrhage, with high sensitivity in the first 24 hours.","Connolly ES Jr, et al. Guidelines for the management of aneurysmal subarachnoid hemorrhage. Stroke. 2012;43(6):1711-37.","Keterampilan klinis; Keselamatan dan mutu layanan kesehatan","trauma","procedural-knowledge","Subarachnoid Hemorrhage","Prof. Michael Davis","Dr. Sarah Johnson","",""
"4","Hypothyroidism","A 35-year-old female presents with a 6-month history of unexplained weight gain of 15 kg, persistent fatigue, cold intolerance, constipation, and dry skin. She also reports hair loss and difficulty concentrating. Physical examination reveals bradycardia, delayed deep tendon reflexes, and periorbital edema.","Which laboratory test would be most appropriate to confirm the suspected diagnosis?","","Thyroid-stimulating hormone (TSH)","Free thyroxine (T4)","Triiodothyronine (T3)","Thyroglobulin","Anti-thyroid peroxidase antibodies","TSH is the most sensitive initial test for thyroid dysfunction. Elevated TSH indicates primary hypothyroidism.","Jonklaas J, et al. Guidelines for the treatment of hypothyroidism. Thyroid. 2014;24(12):1670-751.","Keterampilan klinis; Literasi Sains atau landasan ilmiah","metabolism","knowledge","Hypothyroidism","John Smith","Dr. Sarah Johnson","Dr. Michael Brown","Needs revision - Add more discriminating clinical features"
"5","Chronic Pancreatitis","A 55-year-old male with a 20-year history of heavy alcohol consumption presents with chronic epigastric pain that radiates to the back, worse after eating. He reports loose, foul-smelling, greasy stools and unintentional weight loss of 10 kg over 3 months. Laboratory studies show elevated lipase and decreased fecal elastase.","What is the most likely diagnosis?","","Chronic pancreatitis","Pancreatic adenocarcinoma","Peptic ulcer disease","Inflammatory bowel disease","Celiac disease","Chronic pancreatitis presents with chronic pain, steatorrhea due to pancreatic insufficiency, and is commonly associated with chronic alcohol use.","Forsmark CE. Management of chronic pancreatitis. Gastroenterology. 2013;144(6):1282-91.","Keterampilan klinis; Literasi Sains atau landasan ilmiah","degenerative","knowledge","Chronic Pancreatitis","Prof. Michael Davis","Dr. Sarah Johnson","",""